,Unnamed: 0,id,public_metrics,text,likecount,lang,author_id,created_at,edit_history_tweet_ids
93,93,1582198071827787777,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@nbakoma1 @MewinaBubble @NihilisticOrac1 @jackgodbout1 @RickandMorty @Wendys Like, dogs can eat meat but we can’t?",0,,,,
94,94,1582198063577575427,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys is this how you treat your employees? https://t.co/Jsa5W329tX,0,,,,
95,95,1582198018098442240,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@DrunkenApeSC @Wendys... c'mon you aren't going to let Arby's one up you are you??,1,,,,
96,96,1582197540044570624,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Wendys got youtube ads in a chokehold, figure four &amp; the walls of jericho smh damn it",0,,,,
97,97,1582197190696783872,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@MewinaBubble @BravoTV @Wendys Not the anime avatar vegan 🤣,0,,,,
98,98,1582197168462778368,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@DocStrangelove2 @Wendys, This leaves a *bitter* taste in my mouth; you've just lost another customer. Hey, everybody, how about a 
BOYCOTT?",0,,,,
99,99,1582196885137149952,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@TVNewsLady @Wendys That's ridiculous. Go to the store with $14.00 and eat a lot of salad. Even though groceries are high too. When preparing meals at home ,you know who's doing the cooking.👩‍🍳🍽",0,,,,
100,100,1582196547483496449,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@BravoTV @Wendys Hey guys what the FUCK is this,0,,,,
101,101,1582196153608966144,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@SluttyHydra @Wendys fix this. NOW,1,,,,
102,102,1582195672928747523,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys you’re app is horrible!!!!….ordered went to pick it up store doesn’t have it. App shows order and money deducted. Should I decline the charges?,0,,,,
103,103,1582195251258589184,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@BravoTV @Wendys I thought this was ole girl from Love is Blind.,. The one who was super insecure about her weight https://t.co/Ka6Ab1lTin",0,,,,
104,104,1582195022958452736,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@thecomfortclub Will you be my @Wendys ?,0,,,,
105,105,1582194445549965314,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@oldad1776 @Wendys https://t.co/4qCH7kscWm,1,,,,
106,106,1582193165175775232,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@BravoTV @Wendys Ghetto, not food",0,,,,
107,107,1582192717584474113,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@KlNGKID @Ihmaniiii_ @bcallahan08 @BravoTV @Wendys Most of BK’s food hits different 🤤 depending on my mood that day haha,0,,,,
108,108,1582192549565202434,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",@Ihmaniiii_ @KlNGKID @bcallahan08 @BravoTV @Wendys Oh no 🙈 I’m nervous to ask how they are made https://t.co/QvVMmrMisx,2,,,,
109,109,1582192539704365056,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@emperorratio @MewinaBubble @NihilisticOrac1 @jackgodbout1 @RickandMorty @Wendys Same,0,,,,
110,110,1582191749258039298,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Wendys Hello, can yall please publish the full version of ""You Got That Bag"" because I've been listening to a 4 second loop all day.",0,,,,
111,111,1582191330406453248,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Locky_Miles @RickandMorty @Wendys Yeah that's real nice bud,0,,,,
112,112,1582190929162952705,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",@KlNGKID @Darius89x @bcallahan08 @BravoTV @Wendys A man of culture 🫱🏽‍🫲🏻,2,,,,
113,113,1582190900343554048,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@BravoTV @Wendys Tbh I don’t like being around arrogant people  especially the dudes,0,,,,
114,114,1582190611788050434,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}","@Ihmaniiii_ @Darius89x @bcallahan08 @BravoTV @Wendys I can agree, BK French Toast &gt; Wendy’s French toast",1,,,,
115,115,1582189529771175936,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@BravoTV @Wendys https://t.co/yIv04sJuyi,0,,,,
116,116,1582189426775511040,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}","I am no one. I never asked to be ""someone,"" but I do ask @Wendys to bring back their fucking breadsticks.",5,,,,
117,117,1582188934167429120,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@Tejina69420 @Wendys I second this notion @Wendys  Tell me why you're better than mcdonalds. I can't even be bothered to capitalize it.,1,,,,
118,118,1582188922553044992,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys explain yourselves https://t.co/vSRMidbw88,0,,,,
119,119,1582188017820631041,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",@KlNGKID @Darius89x @bcallahan08 @BravoTV @Wendys It’s more than just that tho Lmfaoooo it’s the way they are made .. they have nothing on Burger King French toast 😭,2,,,,
120,120,1582187769681833984,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","@hannahjacole @Wendys @melsdominguez Oof, Wendy's should take care of that. That's quite mean of that employee.😬",2,,,,
121,121,1582187439464263680,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys @lust4lifelaura Yo Wendy's How do you feel about the other food chains such as Burger King and Macdonalds,0,,,,
122,122,1582187431834505216,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Wendys 
Hi",0,,,,
123,123,1582187375068782593,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@Ihmaniiii_ @bcallahan08 @BravoTV @Wendys Well I don’t know if I want to try them now 😂😂 they look dry dry too https://t.co/3R8SQKLgxU,1,,,,
124,124,1582187333637455872,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys I realize you better than Mc Donalds but... what about chick-fil-a 🤔,0,,,,
125,125,1582187099306225664,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys Mushroom cheddar melt…bring it back!,0,,,,
126,126,1582186975687503873,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys  manager being chatged with assault after cops came back to look  at video!!,0,,,,
127,127,1582186889896816641,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Wendys Winter is in less than 2 months, please vanilla frosty :(",0,,,,
128,128,1582186094116081665,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@Ihmaniiii_ @Darius89x @bcallahan08 @BravoTV @Wendys Yea because there’s only one pack 😂😂,0,,,,
129,129,1582184879697330176,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Wendys You all fired an autistic employee. Piss off, insufferable parasites.",0,,,,
130,130,1582184619843411968,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",@MewinaBubble @nbakoma1 @NihilisticOrac1 @jackgodbout1 @RickandMorty @Wendys I just ate tacos and cheese dip,3,,,,
131,131,1582184033114787840,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Bidecoin @MTV @paramountco @netflix @hulu @Nickelodeon @CBS @MikeJudge @SethGreen @ToyMories @MolsonCoors @JimBeam @budweiserusa @McDonalds @ChipotleTweets @Target @Ford @tacobell @Wendys @OriginalFunko @Mattel @Hasbro @cartoonnetwork Indeed,0,,,,
132,132,1582183741874589696,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys so I bought a McDonald’s burger what do I do,0,,,,
133,133,1582182932403605504,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@ToughChoicePick @Wendys,1,,,,
134,134,1582182892288978944,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@BravoTV @Wendys https://t.co/Kp2zZTC1Sf,0,,,,
135,135,1582181874994028545,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@RickandMorty @Wendys smartest ad,0,,,,
136,137,1582181592293814272,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@BravoTV @Wendys She doesn’t eat those,1,,,,
137,138,1582181029757919233,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@BravoTV @Wendys Who is SHE???,0,,,,
